Feature ID	Taxon	Confidence
44d3b342ffd58637a8db934d4d3290c6	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__	0.9673301046646695
643ae9d0b308820d1f59fe694bd05457	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herbaspirillum;s__	0.847559820411809
99c7eef6126effe8e82622d0bbbfadb4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__	0.9943865946149524
059a6ba0dad3c3e2d3d48c007210e55e	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus;s__	0.9543960545895471
e04c86de800d87721d83ffcdb6d9df1c	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__	0.9996315172072452
aa9080f6219825f5ebc9fe5e246fd973	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.8935841960340158
209d47a335c48aaf7d2cbe1269f4aeb9	d__Eukaryota	0.9907228890862707
e7d0990c478811af21bf68da1babbc04	d__Eukaryota;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__	0.8575939589285987
5b0e24dfe43c3e3cd46450ea1dba8a60	d__Bacteria	0.8906320951986927
dfa75eb0b37144bcc5ad55be3b74b647	d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Kallotenuales;f__AKIW781;g__AKIW781;s__	0.9997741351266852
9d948829f1482e9518fafc67ab7b8030	d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__JG30-KF-CM45;s__	0.9512414602493278
92d987fdcd4b388619f4f9e7aa713eba	Unassigned	0.5046100966781788
acd33ef1185d86aa9409d669a648db66	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__	0.9999990668644136
